2019-09-01 12:35:33
Running ./matvec_cuda
Run on (48 X 2494.18 MHz CPU s)
CPU Caches:
  L1 Data 32K (x24)
  L1 Instruction 32K (x24)
  L2 Unified 256K (x24)
  L3 Unified 30720K (x2)
Load Average: 0.60, 0.76, 0.65
-------------------------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------
BM_MDSpan_CUDA_MatVec/left                      6210441 ns      6217233 ns          113 bytes_per_second=1.17052T/s
BM_MDSpan_CUDA_MatVec/left                      6210820 ns      6217564 ns          113 bytes_per_second=1.17046T/s
BM_MDSpan_CUDA_MatVec/left                      6212318 ns      6219062 ns          113 bytes_per_second=1.17018T/s
BM_MDSpan_CUDA_MatVec/left                      6211597 ns      6218298 ns          113 bytes_per_second=1.17032T/s
BM_MDSpan_CUDA_MatVec/left                      6212221 ns      6218034 ns          113 bytes_per_second=1.17037T/s
BM_MDSpan_CUDA_MatVec/left                      6211386 ns      6218181 ns          113 bytes_per_second=1.17034T/s
BM_MDSpan_CUDA_MatVec/left                      6212906 ns      6219445 ns          113 bytes_per_second=1.17011T/s
BM_MDSpan_CUDA_MatVec/left                      6213050 ns      6219848 ns          113 bytes_per_second=1.17003T/s
BM_MDSpan_CUDA_MatVec/left                      6224412 ns      6231223 ns          113 bytes_per_second=1.16789T/s
BM_MDSpan_CUDA_MatVec/left                      6213421 ns      6219996 ns          113 bytes_per_second=1.17T/s
BM_MDSpan_CUDA_MatVec/left                      6212199 ns      6218926 ns          113 bytes_per_second=1.1702T/s
BM_MDSpan_CUDA_MatVec/left                      6212412 ns      6218981 ns          113 bytes_per_second=1.17019T/s
BM_MDSpan_CUDA_MatVec/left                      6210271 ns      6216992 ns          113 bytes_per_second=1.17057T/s
BM_MDSpan_CUDA_MatVec/left                      6212134 ns      6218933 ns          113 bytes_per_second=1.1702T/s
BM_MDSpan_CUDA_MatVec/left                      6213232 ns      6220028 ns          113 bytes_per_second=1.17T/s
BM_MDSpan_CUDA_MatVec/left                      6214347 ns      6221070 ns          113 bytes_per_second=1.1698T/s
BM_MDSpan_CUDA_MatVec/left                      6211950 ns      6218514 ns          113 bytes_per_second=1.17028T/s
BM_MDSpan_CUDA_MatVec/left                      6213534 ns      6220262 ns          113 bytes_per_second=1.16995T/s
BM_MDSpan_CUDA_MatVec/left                      6212589 ns      6219137 ns          113 bytes_per_second=1.17016T/s
BM_MDSpan_CUDA_MatVec/left                      6212607 ns      6219335 ns          113 bytes_per_second=1.17013T/s
BM_MDSpan_CUDA_MatVec/left                      6212030 ns      6218519 ns          113 bytes_per_second=1.17028T/s
BM_MDSpan_CUDA_MatVec/left                      6212282 ns      6219080 ns          113 bytes_per_second=1.17018T/s
BM_MDSpan_CUDA_MatVec/left                      6212075 ns      6218869 ns          113 bytes_per_second=1.17021T/s
BM_MDSpan_CUDA_MatVec/left                      6212207 ns      6219004 ns          113 bytes_per_second=1.17019T/s
BM_MDSpan_CUDA_MatVec/left                      6211811 ns      6218512 ns          113 bytes_per_second=1.17028T/s
BM_MDSpan_CUDA_MatVec/left                      6212959 ns      6219507 ns          113 bytes_per_second=1.17009T/s
BM_MDSpan_CUDA_MatVec/left                      6227770 ns      6234529 ns          113 bytes_per_second=1.16728T/s
BM_MDSpan_CUDA_MatVec/left                      6211384 ns      6217930 ns          113 bytes_per_second=1.17039T/s
BM_MDSpan_CUDA_MatVec/left                      6212727 ns      6219457 ns          113 bytes_per_second=1.1701T/s
BM_MDSpan_CUDA_MatVec/left                      6213325 ns      6219861 ns          113 bytes_per_second=1.17003T/s
BM_MDSpan_CUDA_MatVec/left                      6212022 ns      6218754 ns          113 bytes_per_second=1.17024T/s
BM_MDSpan_CUDA_MatVec/left                      6213423 ns      6220222 ns          113 bytes_per_second=1.16996T/s
BM_MDSpan_CUDA_MatVec/left                      6211179 ns      6217975 ns          113 bytes_per_second=1.17038T/s
BM_MDSpan_CUDA_MatVec/left                      6213388 ns      6220186 ns          113 bytes_per_second=1.16997T/s
BM_MDSpan_CUDA_MatVec/left                      6212757 ns      6219107 ns          113 bytes_per_second=1.17017T/s
BM_MDSpan_CUDA_MatVec/left                      6213300 ns      6220031 ns          113 bytes_per_second=1.17T/s
BM_MDSpan_CUDA_MatVec/left                      6211157 ns      6217703 ns          113 bytes_per_second=1.17043T/s
BM_MDSpan_CUDA_MatVec/left                      6213368 ns      6220103 ns          113 bytes_per_second=1.16998T/s
BM_MDSpan_CUDA_MatVec/left                      6212718 ns      6219267 ns          113 bytes_per_second=1.17014T/s
BM_MDSpan_CUDA_MatVec/left                      6212880 ns      6219601 ns          113 bytes_per_second=1.17008T/s
BM_MDSpan_CUDA_MatVec/left                      6213379 ns      6219928 ns          113 bytes_per_second=1.17002T/s
BM_MDSpan_CUDA_MatVec/left                      6212613 ns      6219345 ns          113 bytes_per_second=1.17013T/s
BM_MDSpan_CUDA_MatVec/left                      6214457 ns      6221257 ns          113 bytes_per_second=1.16977T/s
BM_MDSpan_CUDA_MatVec/left                      6212977 ns      6219772 ns          113 bytes_per_second=1.17004T/s
BM_MDSpan_CUDA_MatVec/left                      6224231 ns      6230984 ns          113 bytes_per_second=1.16794T/s
BM_MDSpan_CUDA_MatVec/left                      6213446 ns      6219983 ns          113 bytes_per_second=1.17001T/s
BM_MDSpan_CUDA_MatVec/left                      6212202 ns      6218936 ns          113 bytes_per_second=1.1702T/s
BM_MDSpan_CUDA_MatVec/left                      6213860 ns      6220392 ns          113 bytes_per_second=1.16993T/s
BM_MDSpan_CUDA_MatVec/left                      6211553 ns      6218291 ns          113 bytes_per_second=1.17032T/s
BM_MDSpan_CUDA_MatVec/left                      6211268 ns      6217827 ns          113 bytes_per_second=1.17041T/s
