2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------
BM_MDSpan_OpenMP_MatVec/left                    998736529 ns    996349461 ns            1 bytes_per_second=74.7937G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                   1004955472 ns   1002557338 ns            1 bytes_per_second=74.3306G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    998553189 ns    996147796 ns            1 bytes_per_second=74.8089G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994095521 ns    991723070 ns            1 bytes_per_second=75.1427G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993451547 ns    991067879 ns            1 bytes_per_second=75.1923G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    991424108 ns    989057642 ns            1 bytes_per_second=75.3452G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    991863735 ns    989483862 ns            1 bytes_per_second=75.3127G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    990314655 ns    987950601 ns            1 bytes_per_second=75.4296G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994448291 ns    992074683 ns            1 bytes_per_second=75.116G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994160503 ns    991787969 ns            1 bytes_per_second=75.1377G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    995011235 ns    992636241 ns            1 bytes_per_second=75.0735G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    996565713 ns    994187499 ns            1 bytes_per_second=74.9564G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    997562090 ns    995180753 ns            1 bytes_per_second=74.8816G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    997389939 ns    995009160 ns            1 bytes_per_second=74.8945G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    999470370 ns    997084458 ns            1 bytes_per_second=74.7386G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    998754904 ns    996359762 ns            1 bytes_per_second=74.793G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    998634662 ns    996251506 ns            1 bytes_per_second=74.8011G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                   1000357578 ns    997959229 ns            1 bytes_per_second=74.6731G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    998256320 ns    995873462 ns            1 bytes_per_second=74.8295G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                   1001595123 ns    999191669 ns            1 bytes_per_second=74.581G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    998452336 ns    996069318 ns            1 bytes_per_second=74.8148G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    995618505 ns    993241893 ns            1 bytes_per_second=75.0278G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    995683845 ns    993306827 ns            1 bytes_per_second=75.0228G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994108049 ns    991734998 ns            1 bytes_per_second=75.1418G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993365176 ns    990994125 ns            1 bytes_per_second=75.1979G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    995397549 ns    993020919 ns            1 bytes_per_second=75.0444G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992421769 ns    990041004 ns            1 bytes_per_second=75.2703G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993682293 ns    991310544 ns            1 bytes_per_second=75.1739G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993369341 ns    990987657 ns            1 bytes_per_second=75.1984G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994570373 ns    992196467 ns            1 bytes_per_second=75.1068G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993383415 ns    990999392 ns            1 bytes_per_second=75.1975G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994191762 ns    991818654 ns            1 bytes_per_second=75.1354G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993948018 ns    991575813 ns            1 bytes_per_second=75.1538G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993709795 ns    991337288 ns            1 bytes_per_second=75.1719G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993599068 ns    991227490 ns            1 bytes_per_second=75.1802G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993217904 ns    990847695 ns            1 bytes_per_second=75.209G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993509760 ns    991138169 ns            1 bytes_per_second=75.187G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993804079 ns    991420799 ns            1 bytes_per_second=75.1656G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993882990 ns    991510692 ns            1 bytes_per_second=75.1588G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993216891 ns    990835535 ns            1 bytes_per_second=75.21G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992960956 ns    990590649 ns            1 bytes_per_second=75.2286G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992142946 ns    989764573 ns            1 bytes_per_second=75.2913G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    993175758 ns    990805014 ns            1 bytes_per_second=75.2123G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    995307516 ns    992931915 ns            1 bytes_per_second=75.0512G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    994173044 ns    991800040 ns            1 bytes_per_second=75.1368G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992393602 ns    990023933 ns            1 bytes_per_second=75.2716G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992663607 ns    990294262 ns            1 bytes_per_second=75.2511G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left                    992504355 ns    990135354 ns            1 bytes_per_second=75.2632G/s repeats=1
